id,name,artist,album,release_date,duration_ms,genres,popularity,explicit,description,Unnamed: 10,tagged_description
3jjsRKEsF42ccXf8kWR3nu,Washing Machine Heart,Mitski,Be the Cowboy,2018-08-17,128198,,86,False,"An electro-pop gem with stuttering beats and quirky synth loops. Moderate danceability meets anxious lyricism about emotional churn. Feels jittery yet playful, mimicking a restless cycle—makes you twitch and smile in equal measure.",,"3jjsRKEsF42ccXf8kWR3nu An electro-pop gem with stuttering beats and quirky synth loops. Moderate danceability meets anxious lyricism about emotional churn. Feels jittery yet playful, mimicking a restless cycle—makes you twitch and smile in equal measure."
2u9S9JJ6hTZS3Vf22HOZKg,NOKIA,Drake,$ome $exy $ongs 4 U,2025-02-14,241023,rap,94,True,"A smooth R&B-lite track with mellow bass and Drake’s laid-back flow. Moderate danceability welcomes head-nods, while lyrics reflect on loyalty, success, and nostalgia. Feels like cruising city streets at night—chill, confident, and slightly reflective.",,"2u9S9JJ6hTZS3Vf22HOZKg A smooth R&B-lite track with mellow bass and Drake’s laid-back flow. Moderate danceability welcomes head-nods, while lyrics reflect on loyalty, success, and nostalgia. Feels like cruising city streets at night—chill, confident, and slightly reflective."
3SAga35lAPYdjj3qyfEsCF,Feel It (From “Invincible”),d4vd,Feel It (From “Invincible”),2024-03-28,157974,,90,False,"Dreamy alt-pop with airy vocals and soft drum taps. Very low danceability but high emotional pull—lovesickness and longing infuse each line. Feels like floating between hope and heartbreak, ideal for solitary moments of contemplation.",,"3SAga35lAPYdjj3qyfEsCF Dreamy alt-pop with airy vocals and soft drum taps. Very low danceability but high emotional pull—lovesickness and longing infuse each line. Feels like floating between hope and heartbreak, ideal for solitary moments of contemplation."
4EndPA8b6FDWYp1RgsnLEB,Blame Game,"Kanye West, John Legend",My Beautiful Dark Twisted Fantasy,2010-11-22,469866,"neo soul, rap, soft pop",63,True,"A slow piano ballad merging Kanye’s candid rap verses with John Legend’s soulful chorus. No danceability, max catharsis—delving into blame, regret, and residual love. Feels like reading old text dumps by candlelight—gutting and deeply cathartic.",,"4EndPA8b6FDWYp1RgsnLEB A slow piano ballad merging Kanye’s candid rap verses with John Legend’s soulful chorus. No danceability, max catharsis—delving into blame, regret, and residual love. Feels like reading old text dumps by candlelight—gutting and deeply cathartic."
2z9iuAxKv4TTeCrPAxxKg9,Love Lost,"Mac Miller, The Temper Trap","I Love Life, Thank You",2022-07-22,162875,,82,True,"Hypnotic alt-hip-hop fusion with airy guitar loops and Mac’s reflective flow. Moderate danceability sparks a mellow head-bop amid melancholic undertones. Feels like wandering neon-lit streets alone—pensive, dreamy, balancing sorrow and groove.",,"2z9iuAxKv4TTeCrPAxxKg9 Hypnotic alt-hip-hop fusion with airy guitar loops and Mac’s reflective flow. Moderate danceability sparks a mellow head-bop amid melancholic undertones. Feels like wandering neon-lit streets alone—pensive, dreamy, balancing sorrow and groove."
7bPWdJgx8vek7S5i5yAtvG,Chemtrails Over The Country Club,Lana Del Rey,Chemtrails Over The Country Club,2021-03-19,271176,,82,False,"Vintage-inspired baroque pop with warm strings and Lana’s hazy vocals. Low danceability, lush arrangement exploring nostalgia and escapism. Feels like sipping tea on a sun-drenched veranda—daydreamy, wistful, softly cinematic.",,"7bPWdJgx8vek7S5i5yAtvG Vintage-inspired baroque pop with warm strings and Lana’s hazy vocals. Low danceability, lush arrangement exploring nostalgia and escapism. Feels like sipping tea on a sun-drenched veranda—daydreamy, wistful, softly cinematic."
3bSfJoCrySAY0VreUK8BYI,Highs and Lows (FULL HQ),keedrow,Highs and Lows (FULL HQ),2025-03-20,109834,,31,True,An indie-rock rollercoaster with dynamic guitar riffs and emotive vocals. Moderate danceability drives head-bops between explosive choruses and mellow verses. Feels like riding life’s peaks and valleys—energizing yet rooted in raw emotional contrast.,,3bSfJoCrySAY0VreUK8BYI An indie-rock rollercoaster with dynamic guitar riffs and emotive vocals. Moderate danceability drives head-bops between explosive choruses and mellow verses. Feels like riding life’s peaks and valleys—energizing yet rooted in raw emotional contrast.
2JgSxQenl3eRwewgBUWyKU,Dil Kay Isharay,Taha G,Dil Kay Isharay,2021-11-26,188421,"desi, hindi indie, indian indie",48,False,"Soulful desi-pop ballad with gentle tabla pulses and smooth Urdu vocals. Very low danceability, rich in themes of heart’s secret signals. Feels intimately romantic, stirring warmth and longing—ideal for cozy evenings and tender confessions.",,"2JgSxQenl3eRwewgBUWyKU Soulful desi-pop ballad with gentle tabla pulses and smooth Urdu vocals. Very low danceability, rich in themes of heart’s secret signals. Feels intimately romantic, stirring warmth and longing—ideal for cozy evenings and tender confessions."
2lX53kXvYnvpV8Vqfe4S7s,Sadqay,"Aashir Wajahat, NAYEL, Nehaal Naseem",Sadqay,2024-02-01,154455,"desi, hindi indie, indian indie",65,False,Emotive folk fusion with twangy strings and heartfelt Urdu delivery. No danceability but profound resonance in themes of sacrifice and loyalty. Feels like an old love letter set to melody—deeply moving and quietly cathartic.,,2lX53kXvYnvpV8Vqfe4S7s Emotive folk fusion with twangy strings and heartfelt Urdu delivery. No danceability but profound resonance in themes of sacrifice and loyalty. Feels like an old love letter set to melody—deeply moving and quietly cathartic.
5u6yeBNC3Tsh5GTAMBlcUD,Shor,"Mooroo, Umair, Talha Anjum",Bittersweet,2024-01-25,265000,"desi, desi hip hop, hindi hip hop, hindi indie, indian indie",52,False,"High-energy desi-rap with driving percussion and raw verses. High danceability sparks foot stomps and head-nods. Lyrics on social noise and defiance give it grit. Feels like an impassioned protest—urgent, rebellious, impossible to stand still.",,"5u6yeBNC3Tsh5GTAMBlcUD High-energy desi-rap with driving percussion and raw verses. High danceability sparks foot stomps and head-nods. Lyrics on social noise and defiance give it grit. Feels like an impassioned protest—urgent, rebellious, impossible to stand still."
5qlsGohL4JSjYFYnCsljHM,Rung,Shamoon Ismail,Juice,2020-01-30,183942,"desi, desi hip hop, hindi hip hop, hindi indie, indian indie",47,False,"Laid-back desi-soul with mellow bass and Shamoon’s smooth vocals. Moderate danceability invites a relaxed sway. Lyrics of colorful romance paint warm imagery. Feels like golden-hour sun shining through city streets, perfect for chill evenings.",,"5qlsGohL4JSjYFYnCsljHM Laid-back desi-soul with mellow bass and Shamoon’s smooth vocals. Moderate danceability invites a relaxed sway. Lyrics of colorful romance paint warm imagery. Feels like golden-hour sun shining through city streets, perfect for chill evenings."
4XKCwXacGJ0Am1s7oD2rDM,Younger And Hotter Than Me,"Selena Gomez, benny blanco",I Said I Love You First,2025-03-21,189647,,68,False,"Bright electro-pop with shimmering synths and Selena’s soft vocals. High danceability boosts light choreography vibes. Lyrics quirky and playful on youth and vanity. Feels like a fun midday break—effervescent, carefree, and irresistibly catchy.",,"4XKCwXacGJ0Am1s7oD2rDM Bright electro-pop with shimmering synths and Selena’s soft vocals. High danceability boosts light choreography vibes. Lyrics quirky and playful on youth and vanity. Feels like a fun midday break—effervescent, carefree, and irresistibly catchy."
5NVL84kB5sq46khnqkUBRd,Cold World,Shamoon Ismail,Cold World,2021-02-21,163366,"desi, desi hip hop, hindi hip hop, hindi indie, indian indie",33,True,"Moody desi-R&B with sparse beats and smooth Urdu verses. Low danceability but enveloping groove. Themes of isolation and longing echo in reverb-laden production. Feels like wandering alone in neon rain, introspective and subtly haunting.",,"5NVL84kB5sq46khnqkUBRd Moody desi-R&B with sparse beats and smooth Urdu verses. Low danceability but enveloping groove. Themes of isolation and longing echo in reverb-laden production. Feels like wandering alone in neon rain, introspective and subtly haunting."
2X6b7zLdIxCejd6GqVcQ9M,3005,Childish Gambino,Because the Internet,2013-12-10,234215,,82,True,Nostalgic hip-hop with buoyant synths and introspective rap. Low danceability but steady head-nods. Lyrics grapple with loneliness and existential musing. Feels like late-night skater sessions—laid-back yet deeply thoughtful.,,2X6b7zLdIxCejd6GqVcQ9M Nostalgic hip-hop with buoyant synths and introspective rap. Low danceability but steady head-nods. Lyrics grapple with loneliness and existential musing. Feels like late-night skater sessions—laid-back yet deeply thoughtful.
3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),"Doja Cat, SZA",Planet Her,2021-06-25,208666,r&b,86,True,"Funky contemporary pop with bubbly synth loops and sensual vocals. Very high danceability for sultry moves. Lyrics flirtatiously weave romance and desire. Feels like a steamy dance floor at dusk—playful, seductive, pure groove.",,"3DarAbFujv6eYNliUTyqtz Funky contemporary pop with bubbly synth loops and sensual vocals. Very high danceability for sultry moves. Lyrics flirtatiously weave romance and desire. Feels like a steamy dance floor at dusk—playful, seductive, pure groove."
3DpedytYku64Hjf51064vO,Tere Bin,Atif Aslam,Bas Ek Pal (Original Motion Picture Soundtrack),2006-09-15,275986,"bollywood, desi, hindi pop, qawwali, sufi",62,False,"Soulful desi-ballad with rich vocal runs and minimal instrumentation. No danceability, pure emotional weight. Lyrics lament unrequited love. Feels like tears gliding down your cheeks—heartbreaking and deeply cathartic.",,"3DpedytYku64Hjf51064vO Soulful desi-ballad with rich vocal runs and minimal instrumentation. No danceability, pure emotional weight. Lyrics lament unrequited love. Feels like tears gliding down your cheeks—heartbreaking and deeply cathartic."
5yqr66QIdRvhh5cxjgpkJh,Downers at Dusk,"Talha Anjum, Umair",Open Letter,2023-02-18,256000,"desi, desi hip hop, hindi hip hop, hindi indie, indian indie",67,True,Dark trap beat underpinning bleak lyrics on mental exhaustion. Low danceability but head-nods reflect tension. Feels like trudging through heavy fog at sunset—haunting and raw.,,5yqr66QIdRvhh5cxjgpkJh Dark trap beat underpinning bleak lyrics on mental exhaustion. Low danceability but head-nods reflect tension. Feels like trudging through heavy fog at sunset—haunting and raw.
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,Happier Than Ever,2021-07-30,298899,,86,True,"Starts as hushed piano ballad, morphs into cathartic alt-rock explosion. Moderate danceability emerges in chorus. Lyrical revenge fuels intensity. Feels like a dam bursting—emotional release followed by euphoric head-bangs.",,"4RVwu0g32PAqgUiJoXsdF8 Starts as hushed piano ballad, morphs into cathartic alt-rock explosion. Moderate danceability emerges in chorus. Lyrical revenge fuels intensity. Feels like a dam bursting—emotional release followed by euphoric head-bangs."
6Uj8ru7TNLDIelbuQ8eBd6,"Turn Around (5,4,3,2,1)",Flo Rida,Only One Flo (Part 1),2010-11-24,201386,,67,False,High-octane club anthem with pounding beats and urgent vocal chants. Max danceability for peak party moves. Lyrics on seizing the moment. Feels like adrenaline-fueled rush—impossible to resist the dance floor.,,6Uj8ru7TNLDIelbuQ8eBd6 High-octane club anthem with pounding beats and urgent vocal chants. Max danceability for peak party moves. Lyrics on seizing the moment. Feels like adrenaline-fueled rush—impossible to resist the dance floor.
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,Sundress,2018-11-20,158205,rap,86,True,"Dreamy rap-infused funk with shimmering guitar and laid-back flow. Moderate danceability invites lazy head-turns. Lyrics weave romantic nostalgia. Feels like hazy summer twilight—cool, textured, comfortably groovy.",,"2aPTvyE09vUCRwVvj0I8WK Dreamy rap-infused funk with shimmering guitar and laid-back flow. Moderate danceability invites lazy head-turns. Lyrics weave romantic nostalgia. Feels like hazy summer twilight—cool, textured, comfortably groovy."
0HrZgX7dWaNEDlRn4nrv1c,Sailor Song,Gigi Perez,Chemistry,2025-02-28,211978,,58,False,"Dream-pop lullaby with ethereal vocals and shimmery synths. Low danceability, high dreamy allure. Themes of longing and wanderlust drift in each note. Feels like floating above ocean waves—peaceful and introspective.",,"0HrZgX7dWaNEDlRn4nrv1c Dream-pop lullaby with ethereal vocals and shimmery synths. Low danceability, high dreamy allure. Themes of longing and wanderlust drift in each note. Feels like floating above ocean waves—peaceful and introspective."
0NUqi0ps17YpLUC3kgsZq0,DIE TRYING,"PARTYNEXTDOOR, Drake, Yebba",$ome $exy $ongs 4 U,2025-02-14,195431,"dark r&b, r&b, rap, trap soul",87,True,"Dark R&B collaboration with brooding bass and layered vocals. Low danceability but enveloping groove. Lyrics on perseverance amidst heartbreak. Feels like dusk on empty streets—moody, haunting, and emotively charged.",,"0NUqi0ps17YpLUC3kgsZq0 Dark R&B collaboration with brooding bass and layered vocals. Low danceability but enveloping groove. Lyrics on perseverance amidst heartbreak. Feels like dusk on empty streets—moody, haunting, and emotively charged."
0jsXpJsdXhnwnwnCLKjYLF,Vanilla Baby,Billie Marten,Feeding Seahorses by Hand,2019-04-26,255426,,56,False,"Gentle folk-pop with delicate guitar plucks and whispery vocals. No danceability, pure calm. Lyrics on simple comforts. Feels like sipping tea by a window—peaceful, warm, quietly uplifting.",,"0jsXpJsdXhnwnwnCLKjYLF Gentle folk-pop with delicate guitar plucks and whispery vocals. No danceability, pure calm. Lyrics on simple comforts. Feels like sipping tea by a window—peaceful, warm, quietly uplifting."
46wojTgyEs6lbgaWB6yIuz,Knock Knock,Mac Miller,K.I.D.S.,2010-08-13,197929,,72,True,"Laid-back hip-hop with jazzy chords and Mac’s warm flow. Moderate danceability invites head-nods. Themes of fame’s hollowness. Feels like idle car rides—smooth, reflective, with a tinge of melancholy.",,"46wojTgyEs6lbgaWB6yIuz Laid-back hip-hop with jazzy chords and Mac’s warm flow. Moderate danceability invites head-nods. Themes of fame’s hollowness. Feels like idle car rides—smooth, reflective, with a tinge of melancholy."
5u4q3iqZ9IMbXaR7bsGYbW,Hai Junoon,"Pritam, KK, Sandeep Shrivastava",New York,2009-06-10,331572,"bollywood, desi, hindi pop, sufi",58,False,"Upbeat Bollywood anthem with orchestral swells and soaring vocals. Moderate danceability for celebratory moves. Lyrics on fervent passion. Feels like swirling in vibrant festivities—grand, emotive, exhilarating.",,"5u4q3iqZ9IMbXaR7bsGYbW Upbeat Bollywood anthem with orchestral swells and soaring vocals. Moderate danceability for celebratory moves. Lyrics on fervent passion. Feels like swirling in vibrant festivities—grand, emotive, exhilarating."
3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,Fine Line,2019-12-13,207133,,83,False,"Shimmering pop-rock with catchy guitar riff and soulful vocals. High danceability for air-guitar sways. Lyrics celebrate unwavering devotion. Feels like laughter on a summer beach—bright, affectionate, and endlessly uplifting.",,"3jjujdWJ72nww5eGnfs2E7 Shimmering pop-rock with catchy guitar riff and soulful vocals. High danceability for air-guitar sways. Lyrics celebrate unwavering devotion. Feels like laughter on a summer beach—bright, affectionate, and endlessly uplifting."
7yR5ZDif2glYMnFP73uRMm,Out Like a Light,"The Honeysticks, Ricky Montgomery",Out Like a Light,2017-06-16,256018,,12,False,"Indie-folk duets with warm strings and earnest voices. Low danceability but heartfelt resonance. Themes of departure and acceptance. Feels like whispered goodbyes at dawn—melancholic, bittersweet, gently consoling.",,"7yR5ZDif2glYMnFP73uRMm Indie-folk duets with warm strings and earnest voices. Low danceability but heartfelt resonance. Themes of departure and acceptance. Feels like whispered goodbyes at dawn—melancholic, bittersweet, gently consoling."
6iYMfxznTBlcVOgRHab2W0,"Sunflower, Vol. 6",Harry Styles,Fine Line,2019-12-13,221826,,70,False,"Vibrant funk-pop with groovy bass and breezy vocals. High danceability sparks joyful moves. Lyrics on blossoming love. Feels like dancing through a sunflower field—sunny, effervescent, pure happiness.",,"6iYMfxznTBlcVOgRHab2W0 Vibrant funk-pop with groovy bass and breezy vocals. High danceability sparks joyful moves. Lyrics on blossoming love. Feels like dancing through a sunflower field—sunny, effervescent, pure happiness."
5TxRUOsGeWeRl3xOML59Ai,ARE WE STILL FRIENDS?,"Tyler, The Creator",IGOR,2019-05-17,265480,,86,True,"Lo-fi soul with dusty horns and introspective lyrics. Low danceability, heavy emotional weight. Themes of fading bonds. Feels like late-night phone calls—raw, contemplative, tinged with regret.",,"5TxRUOsGeWeRl3xOML59Ai Lo-fi soul with dusty horns and introspective lyrics. Low danceability, heavy emotional weight. Themes of fading bonds. Feels like late-night phone calls—raw, contemplative, tinged with regret."
0fO1pBw5d9elBhAo0OleA0,7 Weeks & 3 Days,yungatita,Over You,2020-01-03,194000,,73,True,"Hypnotic alt-R&B with minimalist beats and airy vocals. Moderate danceability invites head-nods. Lyrics on longing across distances. Feels like drifting between wake and dream—intimate, mellow, slightly haunting.",,"0fO1pBw5d9elBhAo0OleA0 Hypnotic alt-R&B with minimalist beats and airy vocals. Moderate danceability invites head-nods. Lyrics on longing across distances. Feels like drifting between wake and dream—intimate, mellow, slightly haunting."
3S8jK1mGzQi24ilFb45DAZ,Lonely (with benny blanco),"Justin Bieber, benny blanco",Justice,2021-03-19,149189,,73,True,"Sparse pop ballad with echoey vocals and soft percussion. No danceability, high vulnerability. Lyrics on isolation amidst fame. Feels like whispered confessions in empty rooms—hauntingly intimate, emotionally raw.",,"3S8jK1mGzQi24ilFb45DAZ Sparse pop ballad with echoey vocals and soft percussion. No danceability, high vulnerability. Lyrics on isolation amidst fame. Feels like whispered confessions in empty rooms—hauntingly intimate, emotionally raw."
08avNVFK8pbrnFC0wWXXu0,Andaz E Karam,"HAVI, Farasat Anees",Andaz E Karam,2025-01-09,283000,"desi, desi hip hop, hindi hip hop, hindi indie, indian indie, qawwali",52,False,"Desi-ambient pop with delicate guitar and soft Urdu vocals. Low danceability, serene mood. Themes of respect and admiration. Feels like gentle prayers at dawn—tranquil, reverent, soul-soothing.",,"08avNVFK8pbrnFC0wWXXu0 Desi-ambient pop with delicate guitar and soft Urdu vocals. Low danceability, serene mood. Themes of respect and admiration. Feels like gentle prayers at dawn—tranquil, reverent, soul-soothing."
0S7MLlU27WnE3bwCcDu6Pj,Jhol - Acoustic,"Maanu, Annural Khalid, Abdullah Siddiqui",Jhol (Acoustic),2025-02-02,277600,"desi, hindi indie, indian indie",76,False,"Stripped acoustic folk with warm chords and heartfelt vocals. No danceability, raw intimacy. Lyrics on emotional turmoil. Feels like honest confessions by candlelight—intimate, vulnerable, deeply affecting.",,"0S7MLlU27WnE3bwCcDu6Pj Stripped acoustic folk with warm chords and heartfelt vocals. No danceability, raw intimacy. Lyrics on emotional turmoil. Feels like honest confessions by candlelight—intimate, vulnerable, deeply affecting."
0rgSJ9SC0Q7HxH5vAL8Vct,Scared Of Loving You,"Selena Gomez, benny blanco",Scared Of Loving You,2025-02-13,110221,,55,True,"Minimal electro-pop with breathy vocals and subtle beats. Low danceability, high tension. Lyrics on fear of commitment. Feels like halted breath—anxious, delicate, captivatingly uncertain.",,"0rgSJ9SC0Q7HxH5vAL8Vct Minimal electro-pop with breathy vocals and subtle beats. Low danceability, high tension. Lyrics on fear of commitment. Feels like halted breath—anxious, delicate, captivatingly uncertain."
60F6pgM6H6miNr5AmjxwjL,Fallen Star,The Neighbourhood,Fallen Star,2021-10-01,224938,,71,False,"Moody indie-rock with echoing guitars and hushed vocals. Moderate danceability for head-nods. Themes of disillusionment. Feels like roaming empty city streets—cool, detached, hauntingly cinematic.",,"60F6pgM6H6miNr5AmjxwjL Moody indie-rock with echoing guitars and hushed vocals. Moderate danceability for head-nods. Themes of disillusionment. Feels like roaming empty city streets—cool, detached, hauntingly cinematic."
5rzI6Jnlhx8DgVgsOLorfW,Baptized In Fear,The Weeknd,Hurry Up Tomorrow,2025-01-31,232176,,78,False,"Dark synth-pop with pulsing bass and The Weeknd’s airy croon. Low danceability, heavy mood. Lyrics on paranoia and desire. Feels like wandering neon alleys—gothic, sultry, tension-filled.",,"5rzI6Jnlhx8DgVgsOLorfW Dark synth-pop with pulsing bass and The Weeknd’s airy croon. Low danceability, heavy mood. Lyrics on paranoia and desire. Feels like wandering neon alleys—gothic, sultry, tension-filled."
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,Hurry Up Tomorrow,2025-01-31,224136,,88,True,"Gritty synth-rock with pounding drums and fierce vocals. High danceability meets vengeful themes. Lyrics on jilted love. Feels like storming dance floors—defiant, adrenaline-charged, irresistibly cathartic.",,"3AWDeHLc88XogCaCnZQLVI Gritty synth-rock with pounding drums and fierce vocals. High danceability meets vengeful themes. Lyrics on jilted love. Feels like storming dance floors—defiant, adrenaline-charged, irresistibly cathartic."
4axSuOg3BqsowKjRpj59RU,Carolina - From The Motion Picture “Where The Crawdads Sing”,Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”),2022-06-24,264438,,65,False,"Balladic folk-pop with gentle guitar and evocative vocals. No danceability, narrative-rich themes of nature and resilience. Feels like wandering marshlands at dawn—poetic, immersive, quietly empowering.",,"4axSuOg3BqsowKjRpj59RU Balladic folk-pop with gentle guitar and evocative vocals. No danceability, narrative-rich themes of nature and resilience. Feels like wandering marshlands at dawn—poetic, immersive, quietly empowering."
2RJnNdu4pb3MypbBroHU0T,Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),"Taylor Swift, Joy Williams, John Paul White",Safe & Sound (Taylor's Version),2021-11-12,239668,,66,False,"Sparse indie-folk with haunting harmonies and soft guitar. No danceability, comforting eerie vibe. Lyrics on protection and hope. Feels like whispered lullabies amidst chaos—soothing, haunting, crystallizing calm.",,"2RJnNdu4pb3MypbBroHU0T Sparse indie-folk with haunting harmonies and soft guitar. No danceability, comforting eerie vibe. Lyrics on protection and hope. Feels like whispered lullabies amidst chaos—soothing, haunting, crystallizing calm."
0F6pFZDlQSiQBWsjQZFbTH,Daydream,Gunter Kallmann Choir,The Fantastic Sound Of,2010-03-26,199733,,71,False,"Lush choral pop with cascading vocals and soft orchestration. Low danceability, ethereal atmosphere. Themes of reverie. Feels like drifting in cotton clouds—soothing, grand, dreamlike.",,"0F6pFZDlQSiQBWsjQZFbTH Lush choral pop with cascading vocals and soft orchestration. Low danceability, ethereal atmosphere. Themes of reverie. Feels like drifting in cotton clouds—soothing, grand, dreamlike."
